"","pixel","bs_sic_x10","lon","lat","sicDate","x","y"
"759",7,1000,-172.8825669,62.86960264,"20220301",-2362273.2266533,1837825.46139676
"859",8,1000,-173.28950402,62.74155685,"20220301",-2360660.30422343,1863635.10199659
"959",9,1000,-173.64949576,62.61006956,"20220301",-2360660.49126403,1887831.6767689
"1059",10,1000,-174.05315813,62.45989067,"20220301",-2360660.70709449,1915254.47383621
"1168",11,1000,-173.73223588,62.30883546,"20220301",-2384857.35645813,1912834.99988579
"1260",12,1000,-173.39871039,62.13615455,"20220301",-2411473.67853153,1911222.11307978
"1359",13,1000,-173.10043038,61.95538139,"20220301",-2437718.94307876,1911445.37777676
"1459",14,1000,-172.74200852,62.09614904,"20220301",-2436850.54348647,1886267.69227442
"1559",15,1000,-172.37301955,62.21931067,"20220301",-2437718.54562213,1861958.28583285
"1659",16,1000,-172.01043703,62.34746359,"20220301",-2437718.35458089,1837648.8452323
"1169",1,1000,-173.05576386,62.26233287,"20220302",-2411473.49214075,1887832.07778017
"260",2,1000,-173.33655426,62.42821497,"20220302",-2387276.81855827,1887831.88592911
"360",3,1000,-172.67357453,62.40051872,"20220302",-2411473.28765688,1862022.41413149
"460",4,1000,-172.9293529,62.57602444,"20220302",-2387276.60372308,1860409.10948969
"560",5,1000,-172.3087748,62.53892242,"20220302",-2410666.53116729,1837019.28420536
"660",6,1000,-172.59435311,62.72215112,"20220302",-2384856.75697129,1836212.53598877
"760",7,1000,-172.8825669,62.86960264,"20220302",-2362273.2266533,1837825.46139676
"860",8,1000,-173.28950402,62.74155685,"20220302",-2360660.30422343,1863635.10199659
"960",9,1000,-173.64949576,62.61006956,"20220302",-2360660.49126403,1887831.6767689
"1060",10,1000,-174.05315813,62.45989067,"20220302",-2360660.70709449,1915254.47383621
"1170",11,1000,-173.73223588,62.30883546,"20220302",-2384857.35645813,1912834.99988579
"1261",12,1000,-173.39871039,62.13615455,"20220302",-2411473.67853153,1911222.11307978
"1360",13,1000,-173.10043038,61.95538139,"20220302",-2437718.94307876,1911445.37777676
"1460",14,1000,-172.74200852,62.09614904,"20220302",-2436850.54348647,1886267.69227442
"1560",15,1000,-172.37301955,62.21931067,"20220302",-2437718.54562213,1861958.28583285
"1660",16,1000,-172.01043703,62.34746359,"20220302",-2437718.35458089,1837648.8452323
